EntityCode,ID,Category,Name,Tags
25240802,10340,Control Measure : Area,Fires Areas : Area Targets : Rectangular Target,Control Measure;Fires Areas;Area Targets;Rectangular Target;gct_rectangular_1_pt;G*FPATR---****X;MAIN;Area;Fires Areas : Area Targets : Rectangular Target;25240802
25240803,10339,Control Measure : Area,Fires Areas : Area Targets : Circular Target,Control Measure;Fires Areas;Area Targets;Circular Target;gct_circular;G*FPATC---****X;MAIN;Area;Fires Areas : Area Targets : Circular Target;25240803
25240804,10341,Control Measure : Area,Fires Areas : Area Targets : Rectangular Target - Single Target,Control Measure;Fires Areas;Area Targets;Rectangular Target - Single Target;gct_rectangular;NEW_AT_2525D;MAIN;Area;Fires Areas : Area Targets : Rectangular Target - Single Target;25240804
25241002,10362,Control Measure : Area,Fires Areas : Fire Support Area : Rectangular,Control Measure;Fires Areas;Fire Support Area;Rectangular;gct_rectangular;G*FPACSR--****X;MAIN;Area;Fires Areas : Fire Support Area : Rectangular;25241002
25241003,10360,Control Measure : Area,Fires Areas : Fire Support Area : Circular,Control Measure;Fires Areas;Fire Support Area;Circular;gct_circular;G*FPACSC--****X;MAIN;Area;Fires Areas : Fire Support Area : Circular;25241003
25241102,10347,Control Measure : Area,Fires Areas : Artillery Target Intelligence Zone : Rectangular,Control Measure;Fires Areas;Artillery Target Intelligence Zone;Rectangular;gct_rectangular;G*FPAZIR--****X;MAIN;Area;Fires Areas : Artillery Target Intelligence Zone : Rectangular;25241102
25241202,10350,Control Measure : Area,Fires Areas : Call for Fire Zone (CFFZ) : Rectangular,Control Measure;Fires Areas;Call for Fire Zone (CFFZ);Rectangular;gct_rectangular;G*FPAZXR--****X;MAIN;Area;Fires Areas : Call for Fire Zone (CFFZ) : Rectangular;25241202
25241302,10353,Control Measure : Area,Fires Areas : Censor Zone : Rectangular,Control Measure;Fires Areas;Censor Zone;Rectangular;gct_rectangular;G*FPAZCR--****X;MAIN;Area;Fires Areas : Censor Zone : Rectangular;25241302
25241402,10356,Control Measure : Area,Fires Areas : Critical Friendly Zone : Rectangular,Control Measure;Fires Areas;Critical Friendly Zone;Rectangular;gct_rectangular;G*FPAZFR--****X;MAIN;Area;Fires Areas : Critical Friendly Zone : Rectangular;25241402
25241502,10359,Control Measure : Area,Fires Areas : Dead Space Area : Rectangular,Control Measure;Fires Areas;Dead Space Area;Rectangular;gct_rectangular;G*FPACDR--****X;MAIN;Area;Fires Areas : Dead Space Area : Rectangular;25241502
25241503,10357,Control Measure : Area,Fires Areas : Dead Space Area : Circular,Control Measure;Fires Areas;Dead Space Area;Circular;gct_circular;G*FPACDC--****X;MAIN;Area;Fires Areas : Dead Space Area : Circular;25241503
25241602,10389,Control Measure : Area,Fires Areas : Sensor Zone : Rectangular,Control Measure;Fires Areas;Sensor Zone;Rectangular;gct_rectangular;G*FPACER--****X;MAIN;Area;Fires Areas : Sensor Zone : Rectangular;25241602
25241603,10387,Control Measure : Area,Fires Areas : Sensor Zone : Circular,Control Measure;Fires Areas;Sensor Zone;Circular;gct_circular;G*FPACEC--****X;MAIN;Area;Fires Areas : Sensor Zone : Circular;25241603
25241702,10392,Control Measure : Area,Fires Areas : Target Build-up Area : Rectangular,Control Measure;Fires Areas;Target Build-up Area;Rectangular;gct_rectangular;G*FPACBR--****X;MAIN;Area;Fires Areas : Target Build-up Area : Rectangular;25241702
25241703,10390,Control Measure : Area,Fires Areas : Target Build-up Area : Circular,Control Measure;Fires Areas;Target Build-up Area;Circular;gct_circular;G*FPACBC--****X;MAIN;Area;Fires Areas : Target Build-up Area : Circular;25241703
25241802,10395,Control Measure : Area,Fires Areas : Target Value Area : Rectangular,Control Measure;Fires Areas;Target Value Area;Rectangular;gct_rectangular;G*FPACVR--****X;MAIN;Area;Fires Areas : Target Value Area : Rectangular;25241802
25241803,10393,Control Measure : Area,Fires Areas : Target Value Area : Circular,Control Measure;Fires Areas;Target Value Area;Circular;gct_circular;G*FPACVC--****X;MAIN;Area;Fires Areas : Target Value Area : Circular;25241803
25241902,10401,Control Measure : Area,Fires Areas : Zone of Responsibility : Rectangular,Control Measure;Fires Areas;Zone of Responsibility;Rectangular;gct_rectangular;G*FPACZR--****X;MAIN;Area;Fires Areas : Zone of Responsibility : Rectangular;25241902
25241903,10399,Control Measure : Area,Fires Areas : Zone of Responsibility : Circular,Control Measure;Fires Areas;Zone of Responsibility;Circular;gct_circular;G*FPACZC--****X;MAIN;Area;Fires Areas : Zone of Responsibility : Circular;25241903
25242302,10371,Control Measure : Area,Fires Areas : Kill Box : Rectangular-Blue,Control Measure;Fires Areas;Kill Box;Rectangular-Blue;gct_rectangular;G*FPAKBR--****X;MAIN;Area;Fires Areas : Kill Box : Rectangular-Blue;25242302
25242303,10367,Control Measure : Area,Fires Areas : Kill Box : Circular-Blue,Control Measure;Fires Areas;Kill Box;Circular-Blue;gct_circular;G*FPAKBC--****X;MAIN;Area;Fires Areas : Kill Box : Circular-Blue;25242303
25242305,10372,Control Measure : Area,Fires Areas : Kill Box : Rectangular-Purple,Control Measure;Fires Areas;Kill Box;Rectangular-Purple;gct_rectangular;G*FPAKPR--****X;MAIN;Area;Fires Areas : Kill Box : Rectangular-Purple;25242305
25242306,10368,Control Measure : Area,Fires Areas : Kill Box : Circular-Purple,Control Measure;Fires Areas;Kill Box;Circular-Purple;gct_circular;G*FPAKPC--****X;MAIN;Area;Fires Areas : Kill Box : Circular-Purple;25242306
25270501,12295,Control Measure : Line,Protection Areas : Obstacle Effects : Block,Control Measure;Protection Areas;Obstacle Effects;Block;gct_u_or_t_shape;G*MPOEB---****X;MAIN;Line;Protection Areas : Obstacle Effects : Block;25270501
25270502,12296,Control Measure : Line,Protection Areas : Obstacle Effects : Disrupt,Control Measure;Protection Areas;Obstacle Effects;Disrupt;gct_triple_arrow;G*MPOED---****X;MAIN;Line;Protection Areas : Obstacle Effects : Disrupt;25270502
25270503,12297,Control Measure : Line,Protection Areas : Obstacle Effects : Fix,Control Measure;Protection Areas;Obstacle Effects;Fix;gct_arrow;G*MPOEF---****X;MAIN;Line;Protection Areas : Obstacle Effects : Fix;25270503
25270504,12298,Control Measure : Line,Protection Areas : Obstacle Effects : Turn,Control Measure;Protection Areas;Obstacle Effects;Turn;gct_freehand_reverse_arrow;G*MPOET---****X;MAIN;Line;Protection Areas : Obstacle Effects : Turn;25270504
25270601,12293,Control Measure : Line,Protection Areas : Obstacle Bypass : Easy,Control Measure;Protection Areas;Obstacle Bypass;Easy;gct_u_or_t_shape;G*MPBDE---****X;MAIN;Line;Protection Areas : Obstacle Bypass : Easy;25270601
25270602,12292,Control Measure : Line,Protection Areas : Obstacle Bypass : Difficult,Control Measure;Protection Areas;Obstacle Bypass;Difficult;gct_u_or_t_shape;G*MPBDD---****X;MAIN;Line;Protection Areas : Obstacle Bypass : Difficult;25270602
25270603,12294,Control Measure : Line,Protection Areas : Obstacle Bypass : Impossible,Control Measure;Protection Areas;Obstacle Bypass;Impossible;gct_u_or_t_shape;G*MPBDI---****X;MAIN;Line;Protection Areas : Obstacle Bypass : Impossible;25270603
25271100,12273,Control Measure : Line,Protection Areas : Bridge or Gap,Control Measure;Protection Areas;Bridge or Gap;gct_parallel_lines_with_ticks;G*MPOFG---****X;MAIN;Line;Protection Areas : Bridge or Gap;25271100
25271201,12307,Control Measure : Line,Protection Areas : Roadblocks- Craters and Blown Bridges : Planned,Control Measure;Protection Areas;Roadblocks- Craters and Blown Bridges;Planned;gct_parallel_lines_mid_line;G*MPORP---****X;MAIN;Line;Protection Areas : Roadblocks- Craters and Blown Bridges : Planned;25271201
25271202,12305,Control Measure : Line,Protection Areas : Roadblocks- Craters and Blown Bridges : Explosives-State of Readiness 1 (Safe),Control Measure;Protection Areas;Roadblocks- Craters and Blown Bridges;Explosives-State of Readiness 1 (Safe);gct_parallel_lines_mid_line;G*MPORS---****X;MAIN;Line;Protection Areas : Roadblocks- Craters and Blown Bridges : Explosives-State of Readiness 1 (Safe);25271202
